municipio,admissoes_mes,desligamentos_mes,saldo_mes,variacao_mes,admissoes_ano,desligamentos_ano,saldo_ano,variacao_ano,admissoes_12m,desligamentos_12m,saldo_12m,variacao_12m,competencia
ADAMANTINA,216,225,-9,-0.09,3153,2538,615,6.7,3987,3901,86,0.89,Setembro/2019
AGUAI,207,183,24,0.32,2239,1834,405,5.74,2718,2486,232,3.21,Setembro/2019
AGUAS DE LINDOIA,105,96,9,0.18,1182,1142,40,0.8,1534,1519,15,0.3,Setembro/2019
AGUDOS,238,221,17,0.24,2359,2283,76,1.1,3049,3000,49,0.71,Setembro/2019
ALTINOPOLIS,65,163,-98,-2.84,1511,1465,46,1.43,1853,2225,-372,-10.21,Setembro/2019
ALUMINIO,128,90,38,0.59,1054,804,250,3.99,1282,1058,224,3.56,Setembro/2019
ALVARES MACHADO,55,78,-23,-0.82,740,666,74,2.74,911,926,-15,-0.54,Setembro/2019
AMERICANA,2305,2170,135,0.18,21628,20634,994,1.36,27233,27160,73,0.1,Setembro/2019
AMERICO BRASILIENSE,335,219,116,1.23,2902,2824,78,0.82,4129,3741,388,4.23,Setembro/2019
AMPARO,531,509,22,0.09,4935,5101,-166,-0.69,6288,6900,-612,-2.49,Setembro/2019
ANDRADINA,520,362,158,1.07,4675,3564,1111,8.05,6210,4930,1280,9.39,Setembro/2019
ANGATUBA,214,126,88,1.61,1825,1399,426,8.3,2230,2158,72,1.31,Setembro/2019
APARECIDA,486,317,169,1.66,2978,2921,57,0.56,3816,3974,-158,-1.51,Setembro/2019
APIAI,240,73,167,5.25,1476,1850,-374,-9.85,2311,2300,11,0.32,Setembro/2019
ARACARIGUAMA,268,312,-44,-0.48,3025,2914,111,1.22,4030,4005,25,0.27,Setembro/2019
ARACATUBA,1720,1514,206,0.41,15439,14682,757,1.51,19988,20081,-93,-0.18,Setembro/2019
ARACOIABA DA SERRA,185,496,-311,-4.86,2911,3306,-395,-6.09,3315,3916,-601,-8.98,Setembro/2019
ARARAQUARA,2310,2240,70,0.1,23401,21782,1619,2.24,29627,28933,694,0.95,Setembro/2019
ARARAS,987,870,117,0.34,10397,9536,861,2.55,13014,12930,84,0.24,Setembro/2019
AREIOPOLIS,60,27,33,3.28,540,227,313,43.11,606,397,209,25.18,Setembro/2019
ARTUR NOGUEIRA,192,226,-34,-0.42,2294,2242,52,0.65,2935,2973,-38,-0.47,Setembro/2019
ARUJA,665,579,86,0.37,6270,5724,546,2.41,8053,7384,669,2.97,Setembro/2019
ASSIS,648,559,89,0.46,5410,5357,53,0.27,7255,7023,232,1.2,Setembro/2019
ATIBAIA,1354,1179,175,0.42,12323,11334,989,2.45,15805,14846,959,2.37,Setembro/2019
AURIFLAMA,46,44,2,0.09,476,554,-78,-3.42,576,753,-177,-7.43,Setembro/2019
AVANHANDAVA,38,85,-47,-2.5,915,822,93,5.23,1035,1092,-57,-2.96,Setembro/2019
AVARE,749,617,132,0.67,6971,6552,419,2.16,9245,8737,508,2.63,Setembro/2019
BADY BASSITT,117,92,25,1.06,953,825,128,5.66,1222,1131,91,3.96,Setembro/2019
BANANAL,40,37,3,0.24,310,270,40,3.29,402,372,30,2.45,Setembro/2019
BARIRI,196,256,-60,-0.67,2608,2417,191,2.16,3122,3165,-43,-0.47,Setembro/2019
BARRA BONITA,262,256,6,0.05,3303,2374,929,8.91,3871,4058,-187,-1.62,Setembro/2019
BARRETOS,910,868,42,0.14,9403,8395,1008,3.4,11816,10871,945,3.18,Setembro/2019
BARRINHA,162,228,-66,-2.22,2481,2584,-103,-3.43,3348,3274,74,2.62,Setembro/2019
BARUERI,9595,8431,1164,0.48,83660,78407,5253,2.21,108103,102938,5165,2.18,Setembro/2019
BASTOS,228,195,33,0.52,1889,1910,-21,-0.33,2587,2581,6,0.09,Setembro/2019
BATATAIS,381,334,47,0.3,3879,3349,530,3.48,4732,4696,36,0.23,Setembro/2019
BAURU,4569,3851,718,0.61,40788,38705,2083,1.78,51267,51329,-62,-0.05,Setembro/2019
BEBEDOURO,801,1051,-250,-0.92,16223,13820,2403,9.75,18402,16924,1478,5.78,Setembro/2019
